Local Government Area,Natural increase,Net internal migration,Net overseas migration,Area (km^2),Population density 2020 (km^2)
Albury (C),201,335,175,305.9,180
Armidale Regional (A),128,-464,228,7809.4,3.8
Ballina (A),-81,554,122,484.9,93.2
Balranald (A),10,-46,4,21690.7,0.1
Bathurst Regional (A),150,132,102,3817.9,11.5
Bayside (A),1370,-1374,3125,49.9,3637.4
Bega Valley (A),-45,250,49,6278.9,5.5
Bellingen (A),-46,168,26,1600.4,8.2
Berrigan (A),2,8,24,2065.8,4.3
Blacktown (C),4374,1180,2905,240,1594.8
Bland (A),10,-49,5,8557.7,0.7
Blayney (A),21,-24,7,1524.6,4.8
Blue Mountains (C),183,-349,253,1431.1,55.3
Bogan (A),16,-71,4,14599.9,0.2
Bourke (A),27,6,2,41599.5,0.1
Brewarrina (A),-2,-57,1,19163.5,0.1
Broken Hill (C),-52,-180,24,170.1,101.5
Burwood (A),116,-806,960,7.1,5733.1
Byron (A),134,345,219,565.8,63.2
Cabonne (A),15,16,14,6022.3,2.3
Camden (A),1480,4703,203,201,536.3
Campbelltown (C) (NSW),1861,404,901,311.9,558.1
Canada Bay (A),576,-853,810,19.9,4846.1
Canterbury-Bankstown (A),3243,-4349,3676,110.2,3450.8
Carrathool (A),32,-43,9,18934.5,0.1
Central Coast (C) (NSW),656,340,891,1681.1,205.7
Central Darling (A),4,-21,7,53492.2,0
Cessnock (C),399,826,53,1965.2,31.2
Clarence Valley (A),-77,81,70,10428.7,5
Cobar (A),21,-186,10,45575.4,0.1
Coffs Harbour (C),136,-79,326,1173.7,66.2
Coolamon (A),10,-62,2,2430.9,1.8
Coonamble (A),8,-60,2,9916.1,0.4
Cootamundra-Gundagai Regional (A),6,-25,11,3981.4,2.8
Cowra (A),-45,23,11,2808.8,4.5
Cumberland (A),2771,-5150,3600,71.6,3391.6
Dubbo Regional (A),352,-166,148,7534.5,7.2
Dungog (A),32,207,3,2250,4.3
Edward River (A),3,-22,19,8883.4,1
Eurobodalla (A),-199,619,63,3428.2,11.4
Fairfield (C),1156,-3882,1897,101.5,2077
Federation (A),-42,187,18,5685,2.2
Forbes (A),13,-6,9,4710.1,2.1
Georges River (A),724,-2367,2484,38.3,4179.6
