Local Government Area,2019 Population,2020 Population,2019-2020 Population Change,Percentage of Change (%)
Albury (C),54344,55055,711,1.3
Armidale Regional (A),29812,29704,-108,-0.4
Ballina (A),44622,45217,595,1.3
Balranald (A),2338,2306,-32,-1.4
Bathurst Regional (A),43612,43996,384,0.9
Bayside (A),178351,181472,3121,1.7
Bega Valley (A),34473,34727,254,0.7
Bellingen (A),12993,13141,148,1.1
Berrigan (A),8750,8784,34,0.4
Blacktown (C),374372,382831,8459,2.3
Bland (A),5971,5937,-34,-0.6
Blayney (A),7378,7382,4,0.1
Blue Mountains (C),79108,79195,87,0.1
Bogan (A),2580,2529,-51,-2
Bourke (A),2590,2625,35,1.4
Brewarrina (A),1611,1553,-58,-3.6
Broken Hill (C),17477,17269,-208,-1.2
Burwood (A),40596,40866,270,0.7
Byron (A),35075,35773,698,2
Cabonne (A),13632,13677,45,0.3
Camden (A),101420,107806,6386,6.3
Campbelltown (C) (NSW),170912,174078,3166,1.9
Canada Bay (A),96017,96550,533,0.6
Canterbury-Bankstown (A),377836,380406,2570,0.7
Carrathool (A),2798,2796,-2,-0.1
Central Coast (C) (NSW),343922,345809,1887,0.5
Central Darling (A),1839,1829,-10,-0.5
Cessnock (C),59978,61256,1278,2.1
Clarence Valley (A),51656,51730,74,0.1
Cobar (A),4572,4417,-155,-3.4
Coffs Harbour (C),77265,77648,383,0.5
Coolamon (A),4341,4291,-50,-1.2
Coonamble (A),3957,3907,-50,-1.3
Cootamundra-Gundagai Regional (A),11233,11225,-8,-0.1
Cowra (A),12741,12730,-11,-0.1
Cumberland (A),241453,242674,1221,0.5
Dubbo Regional (A),53710,54044,334,0.6
Dungog (A),9422,9664,242,2.6
Edward River (A),9083,9083,0,0
Eurobodalla (A),38469,38952,483,1.3
Fairfield (C),211654,210825,-829,-0.4
Federation (A),12435,12598,163,1.3
Forbes (A),9904,9920,16,0.2
Georges River (A),159431,160272,841,0.5
Gilgandra (A),4239,4229,-10,-0.2
Glen Innes Severn (A),8869,8873,4,0
Goulburn Mulwaree (A),31127,31554,427,1.4
Greater Hume Shire (A),10763,10841,78,0.7
Griffith (C),27022,27155,133,0.5
Gunnedah (A),12680,12690,10,0.1
